Order #,Date Seen,Title,Letter Rating,Score,Year Watched,Location,Format,Release Year,Rotten Tomatoes,Length (Minutes),RT/Minute,Poster URL,Genres
472,July-19,Toy Story 4,B+,14,2019,Peninsula,Theatre,2019,96%,90,108%,https://image.tmdb.org/t/p/w500/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,"Family, Comedy, Animation, Adventure"
473,September-08,Tropic Thunder,B+,14,2008,Lafayette,Theatre,2008,82%,107,78%,https://image.tmdb.org/t/p/w500/zAurB9mNxfYRoVrVjAJJwGV3sPg.jpg,"Action, Comedy, Adventure, War"
474,February-09,Two Lovers,B+,14,2009,San Fran,On-Demand/PPV,2009,,110,75%,https://image.tmdb.org/t/p/w500/skwYEUcxhUub9QCSwPDMvBySphS.jpg,"Drama, Romance"
475,,Unforgiven,B+,14,Pre-2006,,,1992,96%,130,NA,https://image.tmdb.org/t/p/w500/54roTwbX9fltg85zjsmrooXAs12.jpg,Western
476,,"Untouchables, The",B+,14,Pre-2006,,,1987,83%,119,NA,https://image.tmdb.org/t/p/w500/8BquGK22zCcsmBWiaIakaaPpSZb.jpg,"Crime, History, Thriller"
477,,"Usual Suspects, The",B+,14,Pre-2006,,,1995,87%,106,NA,https://image.tmdb.org/t/p/w500/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,"Drama, Crime, Thriller"
478,January-07,V for Vendetta,B+,14,2007,,,2005,73%,132,NA,https://image.tmdb.org/t/p/w500/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,"Action, Thriller, Sci Fi"
479,,"View to a Kill, A",B+,14,Pre-2006,,,1985,36%,131,NA,https://image.tmdb.org/t/p/w500/arJF829RP9cYvh0NU70dC5TtXSa.jpg,"Adventure, Action, Thriller"
480,,Wall St,B+,14,Pre-2006,,,2013,,180,NA,https://image.tmdb.org/t/p/w500/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg,"Crime, Drama, Comedy"
481,June-08,Wanted,B+,14,2008,London,Theatre,2008,71%,110,75%,https://image.tmdb.org/t/p/w500/cbDMsV4VJAL2xJ2JXdWWjmUXZkT.jpg,"Action, Thriller, Crime"
482,,"War of the Roses, The",B+,14,Pre-2006,,,1989,84%,116,NA,https://image.tmdb.org/t/p/w500/k2l2df0XlY58wfr7a3RPJ59qmxl.jpg,"Comedy, Drama"
483,,When Harry Met Sally,B+,14,Pre-2006,,,2018,,4,NA,https://image.tmdb.org/t/p/w500/rFOiFUhTMtDetqCGClC9PIgnC1P.jpg,
484,August-23,"Whole Nine Yards, The",B+,14,2023,Dover,Netflix,2000,42%,101,43%,https://image.tmdb.org/t/p/w500/rDV7ntPLY0ZDBT722Odsi80nFrn.jpg,"Comedy, Crime"
485,,White Men Can't Jump,B+,14,Pre-2006,,,1992,75%,115,NA,https://image.tmdb.org/t/p/w500/jnI05Z2Cm9ACEJo8FGen7tdHKLl.jpg,"Comedy, Drama"
486,,Without Limits,B+,14,Pre-2006,,,1998,79%,117,NA,https://image.tmdb.org/t/p/w500/2HoKVqCzVOez7DEwHApc73bKobg.jpg,"Drama, Romance"
487,,Witness,B+,14,Pre-2006,,,1985,94%,112,NA,https://image.tmdb.org/t/p/w500/kOymD1rChAMykmDVEzJpIh4OYS7.jpg,"Crime, Drama, Romance, Thriller"
488,,"Wizard of Oz, The",B+,14,Pre-2006,,,1939,98%,102,NA,https://image.tmdb.org/t/p/w500/pfAZFD7I2hxW9HCChTuAzsdE6UX.jpg,"Adventure, Fantasy, Family"
489,December-13,The Wolf of Wall Street,B+,14,2013,LA,Theatre,2013,79%,179,42%,https://image.tmdb.org/t/p/w500/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg,"Crime, Drama, Comedy"
490,,Working Girl,B+,14,Pre-2006,,,1988,83%,113,NA,https://image.tmdb.org/t/p/w500/q2jfFzZvAzjTaArQR0tjilIZ5aJ.jpg,"Comedy, Romance, Drama"
491,,X-Men I,B+,14,Pre-2006,,,2003,,59,NA,https://image.tmdb.org/t/p/w500/88t6qb9hBdG92VTTW9bzhzRGH0c.jpg,Documentary
492,,X-Men II,B+,14,Pre-2006,,,2003,,133,NA,https://image.tmdb.org/t/p/w500/bWMw0FMsY8DICgrQnrTSWbzEgtr.jpg,"Adventure, Action, Sci Fi"
493,January-08,"4 Months, 3 Weeks and 2 Days",B/B+,13,2008,Boston,On-Demand/PPV,2007,,113,84%,https://image.tmdb.org/t/p/w500/acEtvzFPeOQwbzRWncjRLenhnKV.jpg,Drama
494,,"Accused, The",B/B+,13,Pre-2006,,,1988,93%,111,NA,https://image.tmdb.org/t/p/w500/aOXh8UDKeMHKuxzcV7npsDYZjxi.jpg,"Crime, Drama"
495,October-18,Adam Sandler: 100% Fresh,B/B+,13,2018,Portola Valley,Netflix,2018,90%,73,121%,https://image.tmdb.org/t/p/w500/ykIpbOWvqx3Jz6oMFss5ldIVkfU.jpg,"Comedy, Music, TV Movie"
496,September-09,Adventureland,B/B+,13,2009,San Fran,On-Demand/PPV,2009,89%,107,83%,https://image.tmdb.org/t/p/w500/eeSJNAR1aWcgANq26KWIHm3cbyB.jpg,"Comedy, Drama, Romance"
497,,All the President's Men,B/B+,13,Pre-2006,,,1976,94%,138,NA,https://image.tmdb.org/t/p/w500/qwdcIdiTAk8iANsJEK2JmrYQx5o.jpg,"Drama, Mystery, Thriller"
498,January-07,American Dreamz,B/B+,13,2007,,,2006,39%,107,NA,https://image.tmdb.org/t/p/w500/qwRbRvfJR7jjsaGfS741Tl3DRr7.jpg,"Comedy, Drama"
499,January-18,American Made,B/B+,13,2018,Portola Valley,On-Demand/PPV,2017,85%,115,75%,https://image.tmdb.org/t/p/w500/23ILgoPSO5ShKcTZOuiTVfqFAUB.jpg,"Action, Comedy, Crime, Drama"
500,March-07,American Splendor,B/B+,13,2007,,,2003,94%,101,NA,https://image.tmdb.org/t/p/w500/rPLMxuk82AiqDiwEUVJ6E7WpjYs.jpg,"Comedy, Drama"
501,April-18,Andre The Giant,B/B+,13,2018,Portola Valley,HBO,2018,92%,85,108%,https://image.tmdb.org/t/p/w500/n4t2g7NbHGu0c51jlQ2qlOZEhvr.jpg,Documentary
502,February-19,Ant-Man and the Wasp,B/B+,13,2019,Portola Valley,Netflix,2018,87%,118,75%,https://image.tmdb.org/t/p/w500/cFQEO687n1K6umXbInzocxcnAQz.jpg,"Action, Adventure, Sci Fi"
503,June-14,"Armstrong Lie, The",B/B+,13,2014,Plane,Plane,2013,82%,122,69%,https://image.tmdb.org/t/p/w500/i90vU3XY68o27nxJexDqT7S4cGN.jpg,Documentary
504,July-08,"Assassination of Jesse James, The",B/B+,13,2008,ATWT,DVD,2007,76%,160,47%,https://image.tmdb.org/t/p/w500/2d1S6fJS80fvseg6mJE8eq5o7Kx.jpg,"Drama, Western"
505,,Austin Powers II,B/B+,13,Pre-2006,,,1999,,95,NA,https://image.tmdb.org/t/p/w500/jiF7UShERJFn5RtgfBK2lIJrOTc.jpg,"Adventure, Comedy, Crime, Sci Fi"
506,May-16,Captain America: Civil War,B/B+,13,2016,Peninsula,Theatre,2016,90%,146,62%,https://image.tmdb.org/t/p/w500/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,"Adventure, Action, Sci Fi"
507,April-22,Awakenings,B/B+,13,2022,Portola Valley,Netflix,1990,81%,121,74%,https://image.tmdb.org/t/p/w500/9gztZXuHLG6AJ0fgqGd7Q43cWRI.jpg,Drama
508,,Bad Boys,B/B+,13,Pre-2006,,,1995,46%,119,NA,https://image.tmdb.org/t/p/w500/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg,"Action, Comedy, Crime, Thriller"
509,December-22,"Banshees of Inisherin, The",B/B+,13,2022,Pensinula,HBO,2022,96%,109,89%,https://image.tmdb.org/t/p/w500/4yFG6cSPaCaPhyJ1vtGOtMD1lgh.jpg,"Drama, Comedy"
510,,"Beach, The",B/B+,13,Pre-2006,,,2000,21%,119,NA,https://image.tmdb.org/t/p/w500/nDua3IliCFaiHURwR1d5oIceNK9.jpg,"Drama, Adventure, Romance, Thriller"
511,,Bean,B/B+,13,Pre-2006,,,1997,41%,89,NA,https://image.tmdb.org/t/p/w500/IwrDPrB4d2DMcpnGkvan46yINL.jpg,"Family, Adventure, Comedy"
512,,Beautiful Girls,B/B+,13,Pre-2006,,,1996,78%,112,NA,https://image.tmdb.org/t/p/w500/sHcx1fBmrtZYvFmUywU0d5cvIFd.jpg,"Comedy, Drama, Romance"
513,,Beauty & The Beast,B/B+,13,Pre-2006,,,1992,,4,NA,https://image.tmdb.org/t/p/w500/eupg5b3CIIbQSJrYa5GD7pNpj7M.jpg,"Romance, Family, Animation, Fantasy"
514,June-20,Becoming,B/B+,13,2020,Portola Valley,Netflix,2020,,89,104%,https://image.tmdb.org/t/p/w500/f0vo1yoEVlbpJ0Fkn0FgU7dTrO8.jpg,Documentary
515,July-09,Before Sunset,B/B+,13,2009,San Fran,On-Demand/PPV,2004,94%,80,118%,https://image.tmdb.org/t/p/w500/gycdE1ARByGQcK4fYR2mgpU6OO.jpg,"Drama, Romance"
516,April-19,Bohemian Rhapsody,B/B+,13,2019,Portola Valley,On-Demand/PPV,2018,60%,134,46%,https://image.tmdb.org/t/p/w500/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,"Music, Drama"
517,,Billy Madison,B/B+,13,Pre-2006,,,1995,40%,89,NA,https://image.tmdb.org/t/p/w500/sOdgtJdFalL9kRKaeJItARLTAEq.jpg,Comedy
518,,Bird on a Wire,B/B+,13,Pre-2006,,,1990,26%,110,NA,https://image.tmdb.org/t/p/w500/liMWv3o05MbXV0QoDdFNsincUxa.jpg,"Action, Adventure, Comedy, Romance"
519,April-18,Black Panther,B/B+,13,2018,Mountain View,Theatre,2018,96%,135,71%,https://image.tmdb.org/t/p/w500/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,"Action, Adventure, Sci Fi"
520,,Black Rain,B/B+,13,Pre-2006,,,1989,52%,125,NA,https://image.tmdb.org/t/p/w500/funhGWt9ee3Uwb6Ar8SGCCvbJdV.jpg,"Drama, Action, Thriller"
521,,"Blair Witch Project, The",B/B+,13,Pre-2006,,,1999,86%,81,NA,https://image.tmdb.org/t/p/w500/9050VGrYjYrEjpOvDZVAngLbg1f.jpg,"Horror, Mystery"
522,December-09,"Blind Side, The",B/B+,13,2009,Florida,Theatre,2009,66%,128,56%,https://image.tmdb.org/t/p/w500/bMgq7VBriuBFknXEe9E9pVBYGZq.jpg,Drama
523,,Blow Out,B/B+,13,Pre-2006,,,1981,88%,108,NA,https://image.tmdb.org/t/p/w500/q44CGZrV08iEI3RC5UeRM3IYMIQ.jpg,"Thriller, Mystery, Crime"
524,,Boiler Room,B/B+,13,Pre-2006,,,2000,66%,120,NA,https://image.tmdb.org/t/p/w500/jFB5uvCZ3HXF00liAEAuOruCPs6.jpg,"Crime, Drama, Thriller"
525,,Bonnie and Clyde,B/B+,13,Pre-2006,,,1967,91%,111,NA,https://image.tmdb.org/t/p/w500/9fx3l6HJuK2gs4dTvmhOma3yMMR.jpg,"Crime, Drama"
526,February-07,"Bourne Supremacy, The",B/B+,13,2007,,,2004,81%,108,NA,https://image.tmdb.org/t/p/w500/7IYGiDrquvX3q7e9PV6Pejs6b2g.jpg,"Action, Drama, Thriller"
527,February-07,Breach,B/B+,13,2007,,,2007,83%,110,NA,https://image.tmdb.org/t/p/w500/m2iVkJPxDrrink7NiE412nFBMQj.jpg,"Drama, Thriller, Crime, History"
528,April-14,Captain America: The Winter Soldier,B/B+,13,2014,Monterey,Theatre,2014,90%,136,65%,https://image.tmdb.org/t/p/w500/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,"Action, Adventure, Sci Fi"
529,August-07,Capturing the Friedmans,B/B+,13,2007,London,DVD,2003,97%,107,NA,https://image.tmdb.org/t/p/w500/qWdMQj0HN7QxKxEkm0tk04nuAQ2.jpg,"Documentary, Crime"
530,August-15,Casting By,B/B+,13,2015,Portola Valley,Netflix,2013,,89,104%,https://image.tmdb.org/t/p/w500/vheUeVbxrIIwRc9OYloYYYtaZq5.jpg,
531,June-15,Champs,B/B+,13,2015,Peninsulat,Netflix,2015,,85,66%,https://image.tmdb.org/t/p/w500/tFN3IDKbPPyVOrEAkN4bLqBHb7W.jpg,Documentary
532,January-07,Children of Men,B/B+,13,2007,,,2006,92%,109,NA,https://image.tmdb.org/t/p/w500/8Xgvmx7WWc7Z9Ws9RAYk7uya2kh.jpg,"Drama, Action, Thriller, Sci Fi"
533,,Chocolat,B/B+,13,Pre-2006,,,2000,63%,121,NA,https://image.tmdb.org/t/p/w500/opJnIodpg8HPu9UiNXkKX8UXFsw.jpg,"Comedy, Drama, Romance"
534,,City Slickers,B/B+,13,Pre-2006,,,1991,87%,113,NA,https://image.tmdb.org/t/p/w500/9DVZpm9pQNB3M17cRo752zqUYhL.jpg,"Comedy, Western"
535,,"Civil Action, A",B/B+,13,Pre-2006,,,1998,65%,115,NA,https://image.tmdb.org/t/p/w500/2AVF1cjRGOfaB4oteSzxvHiQ3hR.jpg,Drama
536,,Clear and Present Danger,B/B+,13,Pre-2006,,,1994,81%,141,NA,https://image.tmdb.org/t/p/w500/6xTM8FPxrLRYwz6I3fqtwh7xybs.jpg,"Action, Drama, Thriller"
537,,Close Encounters of the Third Kind,B/B+,13,Pre-2006,,,1977,91%,138,NA,https://image.tmdb.org/t/p/w500/yaPx3cK9zGFX3SbcKwxWM1QIbUh.jpg,"Sci Fi, Drama"
538,March-08,Cocaine Cowboys,B/B+,13,2008,Boston,On-Demand/PPV,2006,71%,118,59%,https://image.tmdb.org/t/p/w500/gxGis0HgcLJv2MS3l01a0wuhCAI.jpg,Documentary
539,,Cocktail,B/B+,13,Pre-2006,,,1988,9%,104,NA,https://image.tmdb.org/t/p/w500/jFRhEPhtsln9tDwzMdZN3OlhUob.jpg,"Romance, Drama, Comedy"
540,October-22,"Confess, Fletch",B/B+,13,2022,Plane,On-Demand,2022,,98,88%,https://image.tmdb.org/t/p/w500/h2oyiPu7aql1s1mLDoKBNAH7p3B.jpg,"Comedy, Mystery, Crime"
541,November-11,"Crazy, Stupid, Love",B/B+,13,2011,Peninsula,On-Demand,2011,,117,67%,https://image.tmdb.org/t/p/w500/p4RafgAPk558muOjnBMHhMArjS2.jpg,"Comedy, Drama, Romance"
542,,Cruel Intentions,B/B+,13,Pre-2006,,,1999,54%,97,NA,https://image.tmdb.org/t/p/w500/76cCsRtQ5MJBAqoigojXsLXLJwh.jpg,"Drama, Romance"
543,January-09,"Curious Case of Benjamin Button, The",B/B+,13,2009,San Fran,Theatre,2008,72%,166,43%,https://image.tmdb.org/t/p/w500/26wEWZYt6yJkwRVkjcbwJEFh9IS.jpg,"Drama, Fantasy, Romance"
544,,"Curse of the Were-Rabbit, The",B/B+,13,Pre-2006,,,2005,95%,85,NA,https://image.tmdb.org/t/p/w500/cMQ2lNd7sBe6PCf6zF5QxrKzbRG.jpg,"Adventure, Animation, Comedy, Family"
545,July-12,"Dark Knight Rises, The",B/B+,13,2012,Redwood City,Theatre,2012,87%,165,53%,https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,"Action, Crime, Drama, Thriller"
546,,Dave,B/B+,13,Pre-2006,,,1993,95%,110,NA,https://image.tmdb.org/t/p/w500/wIUuf1NFchdCJe833JBTiSMzqfv.jpg,Comedy
547,,Dick Tracy,B/B+,13,Pre-2006,,,1990,63%,105,NA,https://image.tmdb.org/t/p/w500/sjeP4bpgsUvAGE8oFcICy2GaHxw.jpg,"Adventure, Comedy, Crime"
548,,"Distinguished Gentleman, The",B/B+,13,Pre-2006,,,1992,13%,112,NA,https://image.tmdb.org/t/p/w500/ny722xPMhsY6JlRmQQjLZs7JP0S.jpg,Comedy
549,February-08,"Diving Bell and the Butterfly, The",B/B+,13,2008,Boston,Theatre,2007,94%,112,83%,https://image.tmdb.org/t/p/w500/6NkJ4gnLrvLj0PZDW6sNM85JMbj.jpg,"Drama, History"
550,December-12,Django Unchained,B/B+,13,2012,Miami,Theatre,2012,87%,166,54%,https://image.tmdb.org/t/p/w500/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,"Drama, Western"
551,January-08,Dodgeball,B/B+,13,2008,Boston,On-Demand/PPV,2004,72%,96,72%,https://image.tmdb.org/t/p/w500/r8KbNHkkwFXLjV1suGwm0Qjure5.jpg,Comedy
552,September-07,Dr. Strangelove,B/B+,13,2007,Boston,On-Demand/PPV,2012,,95,NA,https://image.tmdb.org/t/p/w500/7SixLzxcqezkZEYU8pcHZgbkmjp.jpg,"Comedy, War"
553,February-14,Don Jon,B/B+,13,2014,Peninsula,On-Demand/PPV,2013,80%,90,90%,https://image.tmdb.org/t/p/w500/uh8bwvgGXeUKzdL4oSul9zxyTcd.jpg,"Romance, Comedy, Drama"
554,November-16,Don't Think Twice,B/B+,13,2016,Portola Valley,On-Demand/PPV,2016,98%,92,108%,https://image.tmdb.org/t/p/w500/f8PuoewhI3qeROdfXSw2Utjf1On.jpg,"Comedy, Drama"
555,,Dragnet,B/B+,13,Pre-2006,,,1987,49%,106,NA,https://image.tmdb.org/t/p/w500/77H17YDeHoJCHebpfGF1rY3Dfof.jpg,"Action, Comedy, Crime"
556,March-15,"Drop, The",B/B+,13,2015,Peninsula,On-Demand/PPV,2014,88%,106,84%,https://image.tmdb.org/t/p/w500/sgQpduENZ5Hn4Cgd7mblAXIcYzv.jpg,"Drama, Crime"
557,April-22,Dune,B/B+,13,2022,Portola Valley,HBO Max,2021,83%,135,61%,https://image.tmdb.org/t/p/w500/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,"Sci Fi, Adventure"
558,,"Edge, The",B/B+,13,Pre-2006,,,1997,63%,117,NA,https://image.tmdb.org/t/p/w500/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,"Action, Adventure, Drama"
559,November-18,Eighth Grade,B/B+,13,2018,Portola Valley,On-Demand/PPV,2018,99%,94,105%,https://image.tmdb.org/t/p/w500/xTa9cLhGHfQ7084UvoPQ2bBXKqd.jpg,"Comedy, Drama"
560,October-19,El Camino: A Breaking Bad movie,B/B+,13,2019,Portola Valley,Netflix,2019,,122,75%,https://image.tmdb.org/t/p/w500/ePXuKdXZuJx8hHMNr2yM4jY2L7Z.jpg,"Crime, Drama, Thriller"
561,September-23,"Equalizer 3, The",B/B+,13,2023,Mountain View,Theatre,2023,76%,109,69%,https://image.tmdb.org/t/p/w500/b0Ej6fnXAP8fK75hlyi2jKqdhHz.jpg,"Action, Thriller, Crime"
562,,Erin Brockovich,B/B+,13,Pre-2006,,,2000,85%,131,NA,https://image.tmdb.org/t/p/w500/jEMvWBWVjndZT0vJnLrRWi9ajea.jpg,Drama
563,July-21,F9 The Fast Saga,B/B+,13,2021,Santa Cruz,Theatre,2021,59%,145,41%,https://image.tmdb.org/t/p/w500/deEmLILTPejEb6OGsXRJ5MCvyDW.jpg,"Action, Adventure, Crime"
564,May-24,"Fall Guy, The",B/B+,13,2024,Redwood City,Theatre,2024,82%,126,64%,https://image.tmdb.org/t/p/w500/e7olqFmzcIX5c23kX4zSmLPJi8c.jpg,"Action, Comedy, Romance"
565,April-16,Fantastic Lies,B/B+,13,2016,Portola Valley,On-Demand/PPV,2016,,103,NA,https://image.tmdb.org/t/p/w500/4ycLXdC3A4of6F7vkYB9Mdekdbe.jpg,"Documentary, History"
566,November-09,Fantastic Mr. Fox,B/B+,13,2009,Boston,Theatre,2009,93%,93,99%,https://image.tmdb.org/t/p/w500/hhhJN8aJdTlzGmARCbwWflHXhwI.jpg,"Adventure, Animation, Comedy, Family"
567,,Fargo,B/B+,13,Pre-2006,,,1996,94%,98,NA,https://image.tmdb.org/t/p/w500/rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg,"Crime, Drama, Thriller"
568,January-14,Fast and the Furious 6: The,B/B+,13,2014,Peninsula,On-Demand/PPV,2013,,130,54%,https://image.tmdb.org/t/p/w500/thSmnRdrzPBBospIOJjLZBReqzo.jpg,"Action, Thriller, Crime"
569,June-14,"Fault In Our Stars, The",B/B+,13,2014,Redwood City,Theatre,2014,81%,125,66%,https://image.tmdb.org/t/p/w500/kcVuktIlrn9SAN1uBmPDnocTQmF.jpg,"Romance, Drama"
570,,Field of Dreams,B/B+,13,Pre-2006,,,1989,88%,107,NA,https://image.tmdb.org/t/p/w500/oeM7nAw6FVFICwUaXKCRkDsKjqO.jpg,"Drama, Fantasy"
571,,"Fifth Element, The",B/B+,13,Pre-2006,,,1997,71%,126,NA,https://image.tmdb.org/t/p/w500/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,"Sci Fi, Action, Adventure"
572,December-16,Finding Traction,B/B+,13,2016,Portola Valley,Neflix,2014,,60,NA,PLACEHOLDER,Documentary
573,,"Firm, The",B/B+,13,Pre-2006,,,1993,76%,154,NA,https://image.tmdb.org/t/p/w500/lxu3Zis4z4UhqXW2t8UGAZMmojl.jpg,"Drama, Mystery, Thriller"
574,July-07,Flags of our Fathers,B/B+,13,2007,,,2006,76%,135,NA,https://image.tmdb.org/t/p/w500/2nkPrhf4YIyMFelfe4zdOnGRYz5.jpg,"War, Drama, History"
575,April-08,Forgetting Sarah Marshall,B/B+,13,2008,Boston,Theatre,2008,84%,112,76%,https://image.tmdb.org/t/p/w500/d4elOzyhNWVlxpG7BwigrumkFTe.jpg,"Comedy, Romance, Drama"
576,August-17,"Founder, The",B/B+,13,2017,Jackson Hole,Netflix,2017,,115,73%,https://image.tmdb.org/t/p/w500/8gLIksu5ggdfBL1UbeTeonHquxl.jpg,"Drama, History"
577,April-16,Team Foxcatcher,B/B+,13,2016,Portola Valley,On-Demand/PPV,2016,100%,90,NA,https://image.tmdb.org/t/p/w500/aeHMJUVHo0EgfiFaM7pyxK5k8qu.jpg,Documentary
578,December-17,Foxcatcher,B/B+,13,2017,Portola Valley,On-Demand/PPV,2014,88%,130,68%,https://image.tmdb.org/t/p/w500/w6Sl079QtUcQ9dVQ2RP6aN9NBXx.jpg,"Drama, Thriller"
579,December-11,Friends with Benefits,B/B+,13,2011,Portola Valley,On-Demand/PPV,2011,69%,107,66%,https://image.tmdb.org/t/p/w500/nKhhDFCdzxeJ3GUunQ570LDpUkz.jpg,"Romance, Comedy"
580,May-17,Furious 7,B/B+,13,2017,Portola Valley,On-Demand/PPV,2015,81%,140,56%,https://image.tmdb.org/t/p/w500/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg,"Action, Crime, Thriller"
581,August-15,Fury,B/B+,13,2015,Portola Valley,On-Demand/PPV,2014,75%,135,57%,https://image.tmdb.org/t/p/w500/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,"War, Drama, Action"
582,,Gangs of New York,B/B+,13,Pre-2006,,,2002,72%,167,NA,https://image.tmdb.org/t/p/w500/lemqKtcCuAano5aqrzxYiKC8kkn.jpg,"Drama, History, Crime"
583,2/15/2020,"Gentlemen,The",B/B+,13,2020,Redwood City,Theatre,2020,,103,72%,https://image.tmdb.org/t/p/w500/jtrhTYB7xSrJxR1vusu99nvnZ1g.jpg,"Comedy, Crime"
584,,Ghost,B/B+,13,Pre-2006,,,1990,74%,126,NA,https://image.tmdb.org/t/p/w500/w9RaPHov8oM5cnzeE27isnFMsvS.jpg,"Fantasy, Drama, Thriller, Mystery, Romance"
585,,Ghostbusters,B/B+,13,Pre-2006,,,1984,95%,105,NA,https://image.tmdb.org/t/p/w500/7E8nLijS9AwwUEPu2oFYOVKhdFA.jpg,"Comedy, Fantasy"
586,August-09,Glengarry Glen Ross,B/B+,13,2009,Plane,On-Demand/PPV,1992,95%,100,98%,https://image.tmdb.org/t/p/w500/nGZCeCfNseq1ee3cJLBp0rH0djT.jpg,"Crime, Drama, Mystery"
587,,Go,B/B+,13,Pre-2006,,,1999,91%,102,NA,https://image.tmdb.org/t/p/w500/kP0OOAa4GTZSUPW8fgPbk1OmKEW.jpg,"Crime, Comedy, Thriller"
588,November-95,GoldenEye,B/B+,13,Pre-2006,,,1995,80%,130,NA,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,"Adventure, Action, Thriller"
589,October-22,Gone Girl,B/B+,13,2015,Portola Valley,On-Demand/PPV,2014,88%,145,61%,https://image.tmdb.org/t/p/w500/ts996lKsxvjkO2yiYG0ht4qAicO.jpg,"Mystery, Thriller, Drama"
590,October-22,Gosford Park,B/B+,13,2022,Plane,On-Demand/PPV,2001,87%,137,64%,https://image.tmdb.org/t/p/w500/7r8DeZuaaHCiOEbkqZC6MFmwJ69.jpg,"Drama, Mystery, Thriller"
591,,"Great Escape, The",B/B+,13,Pre-2006,,,1963,94%,172,NA,https://image.tmdb.org/t/p/w500/medKrMW7uTJZBeKsuKPCNu5vc1x.jpg,"Adventure, Drama, War"
592,,Groundhog Day,B/B+,13,Pre-2006,,,1993,94%,101,NA,https://image.tmdb.org/t/p/w500/gCgt1WARPZaXnq523ySQEUKinCs.jpg,"Romance, Fantasy, Drama, Comedy"
593,August-14,Guardians of the Galaxy,B/B+,13,2014,Redwood City,Theatre,2014,91%,121,76%,https://image.tmdb.org/t/p/w500/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,"Action, Sci Fi, Adventure"
594,,"Hand That Rocks The Cradle, The",B/B+,13,Pre-2006,,,1992,67%,110,NA,https://image.tmdb.org/t/p/w500/6Z4rtNUA51AegNjhJ2dKFcfsHE2.jpg,"Drama, Thriller"
595,,Harry Potter I,B/B+,13,Pre-2006,,,2001,,152,NA,https://image.tmdb.org/t/p/w500/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,"Adventure, Fantasy"
596,,Harry Potter II,B/B+,13,Pre-2006,,,2011,,130,NA,https://image.tmdb.org/t/p/w500/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,"Fantasy, Adventure"
597,,Harry Potter and the Prisoner of Azkaban,B/B+,13,Pre-2006,,,2004,91%,142,NA,https://image.tmdb.org/t/p/w500/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,"Adventure, Fantasy"
598,,Harry Potter and the Goblet of Fire,B/B+,13,Pre-2006,,,2005,88%,157,NA,https://image.tmdb.org/t/p/w500/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,"Adventure, Fantasy"
599,,High Fidelity,B/B+,13,Pre-2006,,,2000,91%,113,NA,https://image.tmdb.org/t/p/w500/e2LZGB62GMhv3Fo8tDZjY87I81a.jpg,"Drama, Comedy, Romance, Music"
600,June-24,Hit Man,B/B+,13,2024,Portola Valley,Netflix,2024,,113,84%,https://image.tmdb.org/t/p/w500/oil3EZwKFp3CWxZnfGfGglesvm9.jpg,"Comedy, Romance, Crime"
601,November-08,"Hoax, The",B/B+,13,2008,San Fran,DVR,2007,85%,115,74%,https://image.tmdb.org/t/p/w500/u5KESAGmNa5NLsSbpHVUDWT4ENR.jpg,"Comedy, Drama"
602,August-15,An Honest Liar,B/B+,13,2015,Portola Valley,Netflix,2014,98%,90,108%,https://image.tmdb.org/t/p/w500/sXgXPtynmZnLLISonrrc7XtrLKv.jpg,"History, Comedy, Documentary"
603,,Hoosiers,B/B+,13,Pre-2006,,,1986,92%,114,NA,https://image.tmdb.org/t/p/w500/dHpjZQXEdoi1xNLubM1rPmTHJYz.jpg,"Drama, Family"
604,,"Human Stain, The",B/B+,13,Pre-2006,,,2003,41%,106,NA,https://image.tmdb.org/t/p/w500/fWbnGCEj2QkY7z0DTQUVjsCJkkh.jpg,"Drama, Romance"
605,August-24,"Hunchback of Notre Dame, The",B/B+,13,2024,Portola Valley,Disney Plus,1996,80%,86,84%,https://image.tmdb.org/t/p/w500/7rPwW7szadvIZ8gZUZcgh7AQrmn.jpg,"Drama, Animation, Family"
